Código Poço,Bacia,Bloco,Campo,Operador,Terra / Mar,Nome Poço ANP,Nome Poço Operador,Data Início Perfuração,Data Término Perfuração,Data Conclusão Poço,Latitude Base Provisória,Longitude Base Provisória,Latitude Base Definitiva,Longitude Base Definitiva,Latitude Fundo,Longitude Fundo,Profundidade Sondador,Profundidade Medida,Profundidade Vertical,Cota Altimétrica,Lâmina D Água,Mesa Rotativa,Nome Sonda
08115019513,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-167D-AL,7PIR167DAL,30/06/2001,,10/08/2002,"-09:35:25,778","-35:53:19,519","-09:35:25,778","-35:53:20,019",,,,2131.8,1952.9,104,,109,SONDA CONVENCIONAL 91
08115019607,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-168D-AL,7PIR168DAL,06/09/2001,,15/10/2001,"-09:36:32,456","-35:54:03,610","-09:36:33,222","-35:54:03,812",,,,0,0,110.4,0,120,SONDA CONVENCIONAL 108
08115019672,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-169D-AL,7PIR169DAL,29/10/2001,06/12/2001,10/12/2001,"-09:35:07,271","-35:53:02,431","-09:35:07,931","-35:53:02,182","-09:35:15,943","-35:52:40,287",0,0,0,102.3,0,112,SONDA CONVENCIONAL 108
08115019750,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-170D-AL,7PIR170DAL,20/12/2001,27/01/2002,13/02/2002,"-09:35:12,045","-35:54:17,409","-09:35:12,594","-35:54:17,709",,,,0,0,109.1,0,119,SONDA CONVENCIONAL 108
08115019615,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-171D-AL,7PIR171DAL,12/09/2001,,05/10/2001,"-09:35:55,251","-35:55:32,683","-09:35:56,020","-35:55:32,454",,,,0,0,113.6,0,119,SONDA CONVENCIONAL 91
08115019658,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-172D-AL,7PIR172DAL,10/10/2001,,27/10/2001,"-09:35:48,100","-35:55:45,701","-09:35:48,159","-35:55:45,791",,,,0,0,116.7,0,122,SONDA CONVENCIONAL 91
08115019714,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-173D-AL,7PIR173DAL,23/11/2001,11/12/2001,15/12/2001,"-09:36:19,384","-35:55:51,896","-09:36:19,164","-35:55:52,177",,,,0,0,32.9,0,38,SONDA CONVENCIONAL 91
08115019681,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-174D-AL,7PIR174DAL,03/11/2001,15/11/2001,18/11/2001,"-09:36:13,524","-35:55:33,168","-09:36:13,815","-35:55:33,301",,,,0,0,74.2,0,79,SONDA CONVENCIONAL 91
08115019754,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-175D-AL,7PIR175DAL,22/12/2001,10/01/2002,16/01/2003,"-09:38:32,672","-35:51:45,221","-09:38:33,236","-35:51:45,135",,,,0,0,91,0,96,SONDA CONVENCIONAL 91
08115019587,Alagoas,PIR,PILAR,Petrobras,TERRA,7-PIR-177D-AL,7PIR177DAL,13/08/2001,,04/09/2001,"-09:35:38,445","-35:53:08,167","-09:35:38,736","-35:53:08,512",,,,0,0,104,0,109,SONDA CONVENCIONAL 91
08116019575,Alagoas,SEAL-300,,Petrobras,MAR,1-BRSA-97-ALS,1ALS52,05/08/2001,,07/08/2001,"-10:38:58,630","-36:09:40,558","-10:38:58,630","-36:09:40,558",,,775,775,775,0,689,22,TRANSOCEAN LEGEND
14030019690,Amazonas,BA-1,,Petrobras,TERRA,1-BRSA-112-AM,1ITA1AM,09/11/2001,15/12/2001,20/12/2001,"-03:29:11,498","-59:03:03,865","-03:29:11,498","-59:03:03,865",,,2140,2140,2140,26,0,33,QUEIROZ GALVÃO 03 (QG-03)
14030019578,Amazonas,BA-3,JAPIIM,Petrobras,TERRA,1-BRSA-98-AM,1IMP1AM,07/08/2001,,13/10/2001,"-02:29:06,725","-58:00:21,522","-02:29:06,721","-58:00:21,522",,,2313,2313,2279,27.8,0,34,QUEIROZ GALVÃO 03 (QG-03)
20246019266,Camamu,BCAM-2,,3R Petroleum Off,MAR,1-COST-3-BAS,1COASTALBCAM2OE1,19/02/2001,,01/04/2001,"-13:58:57,869","-38:50:11,227","-13:58:57,869","-38:50:11,227",,,2029,2029,2029,0,60,25.6,
20246019368,Camamu,BCAM-2,,3R Petroleum Off,MAR,1-ELPS-5-BAS,1COASTAL 1BCAM2 1,12/04/2001,,01/05/2001,"-13:52:58,926","-38:54:29,268","-13:52:58,926","-38:54:29,268",,,1350,1350,1335,0,25,25,PETROBRAS III
20246019703,Camamu,BCAM-40,MANATI,Petrobras,MAR,3-BRSA-115-BAS,3BAS132,16/11/2001,16/12/2001,17/01/2002,"-13:27:16,254","-38:47:51,543","-13:27:16,254","-38:47:51,543",,,1671,1670,1668.9,0,44.8,27,PETROBRAS III
20246019614,Camamu,BCAM-40,,Petrobras,MAR,3-BRSA-106-BAS,3BAS131,12/09/2001,,08/11/2001,"-13:34:00,728","-38:48:57,171","-13:34:21,622","-38:48:55,268","-13:34:21,622","-38:48:55,268",1650,1651.3,1651.3,0,46.5,25,PETROBRAS III
20246019410,Camamu,B097,SARDINHA,Petrobras,MAR,3-ELPS-6-BAS,3COGCBAS97#1,07/05/2001,,22/05/2001,"-13:54:11,937","-38:54:22,418","-13:54:11,937","-38:54:22,418",,,1020,1020,1020,0,24,25,
74281019167,Campos,AB,ALBACORA,Petrobras,MAR,7-AB-64HA-RJS,7AB64HARJS,05/01/2001,21/01/2001,05/04/2001,"-22:08:00,984","-40:00:03,893","-22:08:00,984","-40:00:03,893",,,4393,4393,3247.2,0,272,25,PETROBRAS XVII
74281019572,Campos,AB,ALBACORA,Petrobras,MAR,9-AB-65-RJS,9AB65RJS,04/08/2001,,26/09/2001,"-22:04:55,147","-39:52:00,017","-22:04:55,147","-39:52:00,017",,,3100,3100,3100,0,1040,20,ENSCO 6002
74281019573,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,9-ABL-2-RJS,9ABL2RJS,04/08/2001,,15/09/2001,"-22:03:34,050","-39:50:28,021","-22:03:34,054","-39:50:28,019",,,2950,2924,2950,,1172,26,PETROBRAS XXIII
74281019748,Campos,ABL,ALBACORA LESTE,Petrobras,MAR,9-ABL-3-RJS,9ABL3RJS,20/12/2001,24/01/2002,26/01/2002,"-22:05:53,755","-39:49:52,203","-22:05:53,755","-39:49:52,203",,,2548,2534,2548,,1200,14,PARAGON DPDS2 (NOBLE LEO SEGERIUS)
34281019551,Campos,BC-10,ARGONAUTA,Shell Brasil,MAR,1-SHEL-7-ESS,1SHELL7ESS,22/07/2001,,12/08/2001,"-21:12:13,143","-39:52:05,894","-21:12:13,143","-39:52:05,894",,,3275,3275,3275,0,1595,38.3,STENA TAY
34281019221,Campos,BC-10,,Shell Brasil,MAR,1-SHEL-3-ESS,1SHELL3ESS,27/01/2001,,20/02/2001,"-21:29:20,169","-39:46:06,493","-21:29:20,169","-39:46:06,493",,,4281,4281,4281,0,1702,38,STENA TAY
